pair,entry_time,entry_price,stake,amount,score,cats,tag,triggered,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,version
TAIKO_USDT,2026-06-05 07:25:00+00:00,0.08946,1.0,11.15582383188017,55.0,4,demon_watch,"A2,C2,D1,D2,",0.09021,0.8383635144198532,2026-06-05 19:25:00+00:00,0.08545,time_dud,-4.482450257098145,-0.04673485356583951,12.0,v2_loose
NFP_USDT,2026-06-05 16:30:00+00:00,0.00993,1.0,100.50352467270896,56.0,4,demon_watch,"A1,A3,B2,D1,D2,",0.010107,1.782477341389729,2026-06-05 22:30:00+00:00,0.009032,time_sharp_drop,-9.043303121852967,-0.09225216515609258,6.0,v2_loose
TAIKO_USDT,2026-06-05 19:40:00+00:00,0.08539,1.0,11.687551235507671,61.0,4,demon_watch,"A2,B1,B2,C2,D2,",0.08821,3.3024944372877423,2026-06-06 19:40:00+00:00,0.08561,time_stale,0.257641410001185,0.0005712612718116183,24.0,v2_loose
NFP_USDT,2026-06-06 15:10:00+00:00,0.008333,1.0,119.76479059162367,55.0,4,demon_watch,"B1,C2,D1,D2,",0.008583,3.0001200048001944,2026-06-07 12:20:00+00:00,0.008029,time_dud,-3.648145925837039,-0.03840849633985366,21.166666666666668,v2_loose
TAIKO_USDT,2026-06-07 01:35:00+00:00,0.0874,1.0,11.418764302059495,59.0,4,demon_watch,"B1,B2,C2,D1,D2,",0.08861,1.3844393592677218,2026-06-08 01:35:00+00:00,0.08791,time_stale,0.5835240274599504,0.0038235697940502966,24.0,v2_loose
XPIN_USDT,2026-06-24 02:55:00+00:00,0.0013714,1.0,727.7234942394633,55.0,4,demon_watch,"A2,B1,C2,D1,D2,",0.0014052,2.4646346798891527,2026-06-24 16:25:00+00:00,0.001329,time_dud,-3.091731077730782,-0.03285547615575324,13.5,v2_loose
LAB_USDT,2026-06-24 06:55:00+00:00,17.287,1.0,0.057731243130676235,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",20.647,19.43657083357436,2026-06-24 18:20:00+00:00,15.884,time_sharp_drop,-8.115925261757383,-0.08299693411233866,11.416666666666666,v2_loose
MITO_USDT,2026-06-24 16:25:00+00:00,0.02758,1.0,36.18564176939812,69.0,4,demon_buy,"A1,A3,B2,C2,D1,D2,",0.02762,0.1450326323422711,2026-06-24 19:45:00+00:00,0.02342,hard_stoploss,-15.083393763596812,-0.15253226976069612,3.3333333333333335,v2_loose
BAS_USDT,2026-06-24 08:55:00+00:00,0.035563,1.0,28.06287433568597,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.044853,26.122655568990243,2026-06-24 20:30:00+00:00,0.038583,pullback,8.491971993363896,0.08274988049377163,11.583333333333334,v2_loose
VSN_USDT,2026-06-24 04:55:00+00:00,0.03238,1.0,30.821494749845584,63.0,4,demon_watch,"A2,B1,B2,D2,",0.03247,0.27794935145151267,2026-06-25 04:55:00+00:00,0.03186,time_stale,-1.6059295861642977,-0.01802717726991976,24.0,v2_loose
ALLO_USDT,2026-06-24 18:25:00+00:00,0.41441,1.0,2.408243044328081,61.0,4,demon_watch,"A1,A3,B1,C2,D2,",0.41695,0.6129195724041376,2026-06-25 06:25:00+00:00,0.38852,time_dud,-6.247436113993394,-0.06434941241765413,12.0,v2_loose
BAS_USDT,2026-06-25 04:55:00+00:00,0.042999,1.0,23.209842089350914,76.0,4,demon_buy,"A1,A3,B1,C2,D2,",0.055023,27.96344101025605,2026-06-25 11:00:00+00:00,0.048698,pullback,13.253796599920916,0.13027289006721077,6.083333333333333,v2_loose
GWEI_USDT,2026-06-24 20:25:00+00:00,0.1239,1.0,8.054882970137207,65.0,4,demon_buy,"A1,A3,B1,B2,C2,D2,",0.137,10.573042776432619,2026-06-25 13:50:00+00:00,0.11802,time_dud,-4.745762711864404,-0.04936271186440666,17.416666666666668,v2_loose
IP_USDT,2026-06-24 22:25:00+00:00,0.3193,1.0,3.125587222048231,55.0,4,demon_watch,"A3,B1,C2,D2,",0.3325,4.1340432195427645,2026-06-25 13:55:00+00:00,0.307,time_dud,-3.852176636392101,-0.04044472283119316,15.5,v2_loose
WARD_USDT,2026-06-25 06:55:00+00:00,0.008403,1.0,118.76710698560036,78.0,4,demon_buy,"A1,A3,B2,C2,D1,D2,",0.008631,2.713316672616911,2026-06-25 18:55:00+00:00,0.007985,time_dud,-4.97441389979769,-0.05164465071998092,12.0,v2_loose
MIRA_USDT,2026-06-25 11:00:00+00:00,0.0456,1.0,21.885964912280702,80.0,4,demon_strong,"A1,A2,A3,B2,C2,D2,",0.04562,0.04385964912280523,2026-06-25 19:20:00+00:00,0.04189,time_sharp_drop,-8.135964912280711,-0.0831969298245615,8.333333333333334,v2_loose
SLX_USDT,2026-06-25 13:50:00+00:00,0.37989,1.0,2.627076258917055,69.0,4,demon_buy,"A1,A3,B2,C2,D1,D2,",0.42326,11.41646266024376,2026-06-26 07:50:00+00:00,0.36552,time_dud,-3.7826739319276617,-0.03975108584063802,18.0,v2_loose
IP_USDT,2026-06-25 18:55:00+00:00,0.3478,1.0,2.8694652098907416,63.0,4,demon_watch,"A1,A3,B1,D2,",0.4193,20.557791834387583,2026-06-26 09:30:00+00:00,0.3368,time_dud,-3.1627372052903993,-0.03356411730879816,14.583333333333334,v2_loose
UB_USDT,2026-06-26 09:50:00+00:00,0.08785,1.0,11.360273192942516,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.08818,0.3756402959590176,2026-06-26 12:20:00+00:00,0.07435,hard_stoploss,-15.367103016505403,-0.1553636881047239,2.5,v2_loose
HFT_USDT,2026-06-26 07:50:00+00:00,0.010369,1.0,96.24843282862379,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.010369,0.0,2026-06-26 13:50:00+00:00,0.009521,time_sharp_drop,-8.178223550969234,-0.08361867103867293,6.0,v2_loose
BEAT_USDT,2026-06-25 15:50:00+00:00,2.0258,1.0,0.49264488103465304,71.0,4,demon_buy,"A1,A3,B1,C2,D1,D2,",2.5354,25.155494125777487,2026-06-26 17:50:00+00:00,2.2906,pullback,13.071379208214049,0.12845236449797603,26.0,v2_loose
ALLO_USDT,2026-06-26 12:20:00+00:00,0.39946,1.0,2.498372803284434,78.0,4,demon_buy,"A3,B1,B2,C2,D1,D2,",0.4193,4.966705051819964,2026-06-26 19:15:00+00:00,0.36634,time_sharp_drop,-8.29119311069944,-0.08474610724478038,6.916666666666667,v2_loose
EPIC_USDT,2026-06-26 14:20:00+00:00,0.4546,1.0,2.1953365596128465,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.4597,1.1218653761548598,2026-06-27 04:30:00+00:00,0.4353,time_dud,-4.24549054113506,-0.0443699956005279,14.166666666666666,v2_loose
TIA_USDT,2026-06-26 17:50:00+00:00,0.3888,1.0,2.5668724279835393,86.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.3908,0.5144032921810705,2026-06-27 05:50:00+00:00,0.3746,time_dud,-3.6522633744855946,-0.03844958847736624,12.0,v2_loose
STG_USDT,2026-06-26 19:50:00+00:00,0.166,1.0,6.012048192771084,65.0,4,demon_buy,"A1,A3,B2,C2,D2,",0.1787,7.650602409638547,2026-06-27 08:10:00+00:00,0.1604,time_dud,-3.373493975903627,-0.03566746987951819,12.333333333333334,v2_loose
MYX_USDT,2026-06-27 04:30:00+00:00,0.1009,1.0,9.890981169474728,71.0,4,demon_buy,"A1,A3,B1,B2,C2,D2,",0.1136,12.58671952428147,2026-06-27 13:20:00+00:00,0.09279,time_sharp_drop,-8.0376610505451,-0.08221585728444003,8.833333333333334,v2_loose
B_USDT,2026-06-27 08:30:00+00:00,0.2435,1.0,4.098562628336755,80.0,4,demon_strong,"A2,B1,B2,C2,D1,D2,",0.2468,1.3552361396303891,2026-06-27 20:30:00+00:00,0.23353,time_dud,-4.09445585215606,-0.04286266940451755,12.0,v2_loose
ATH_USDT,2026-06-25 20:55:00+00:00,0.004131,1.0,241.58799322198016,70.0,4,demon_buy,"A1,A2,A3,B2,D2,",0.00437,5.785524086177672,2026-06-27 20:55:00+00:00,0.004227,time_weak,2.323892519970945,0.021192447349309917,48.0,v2_loose
HMSTR_USDT,2026-06-27 13:20:00+00:00,0.000187,1.0,5336.898395721925,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.0001882,0.6417112299465252,2026-06-28 04:55:00+00:00,0.0001804,time_dud,-3.529411764705882,-0.037223529411764655,15.583333333333334,v2_loose
TRADOOR_USDT,2026-06-27 06:30:00+00:00,0.4255,1.0,2.345475910693302,80.0,4,demon_strong,"A1,A2,A3,B2,D1,D2,",0.4704,10.552291421856639,2026-06-28 06:30:00+00:00,0.4215,time_stale,-0.9400705052878975,-0.011381903642773139,24.0,v2_loose
BAS_USDT,2026-06-27 22:30:00+00:00,0.046285,1.0,21.56206114291887,55.0,4,demon_watch,"A1,A3,B1,C2,D2,",0.055021,18.874365345144216,2026-06-28 08:05:00+00:00,0.041564,time_sharp_drop,-10.199848763098203,-0.1037944906557201,9.583333333333334,v2_loose
SLX_USDT,2026-06-27 20:30:00+00:00,0.55495,1.0,1.7983602126317684,65.0,4,demon_buy,"A1,A3,B1,B2,C2,D2,",0.57999,4.512118208847634,2026-06-28 09:40:00+00:00,0.53141,time_dud,-4.241823587710606,-0.04433339940535186,13.166666666666666,v2_loose
ESPORTS_USDT,2026-06-28 10:55:00+00:00,0.05843,1.0,17.080266986137257,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.05857,0.23960294369329846,2026-06-28 16:55:00+00:00,0.05142,time_sharp_drop,-11.99726168064351,-0.1217326715728222,6.0,v2_loose
ZORA_USDT,2026-06-28 04:55:00+00:00,0.0075,1.0,133.06666666666666,80.0,4,demon_strong,"A1,A3,B1,B2,C2,D2,",0.007817,4.226666666666661,2026-06-28 19:45:00+00:00,0.007244,time_dud,-3.4133333333333358,-0.036065066666666645,14.833333333333334,v2_loose
OPN_USDT,2026-06-28 08:55:00+00:00,0.06837,1.0,14.59704548778704,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.06921,1.2286090390522064,2026-06-28 20:55:00+00:00,0.06629,time_dud,-3.0422700014626276,-0.03236185461459706,12.0,v2_loose
H_USDT,2026-06-28 16:55:00+00:00,0.05965,1.0,16.730930427493714,80.0,4,demon_strong,"A1,A3,B1,C2,D1,D2,",0.07633,27.96311818943838,2026-06-29 20:00:00+00:00,0.06847,pullback,14.786253143336129,0.14556680637049446,27.083333333333332,v2_loose
ALGO_USDT,2026-06-28 21:45:00+00:00,0.08727,1.0,11.435774034605249,61.0,4,demon_watch,"A2,B1,B2,C2,D2,",0.09007,3.2084335968832325,2026-06-29 21:45:00+00:00,0.08626,time_stale,-1.1573278331614496,-0.013550131774951235,24.0,v2_loose
HMSTR_USDT,2026-06-29 22:00:00+00:00,0.0001915,1.0,5211.488250652742,65.0,4,demon_buy,"A1,A2,A3,B2,C2,D2,",0.000195,1.8276762402088795,2026-06-30 10:00:00+00:00,0.0001841,time_dud,-3.8642297650130497,-0.04056501305483029,12.0,v2_loose
